kd_diff,sig_strike_diff,total_strikes_diff,td_diff,ctrl_time_diff,height_diff,weight_diff,reach_diff,age_diff,winrate_diff,winner
0.06666666666666671,6.933333333333323,2.0,0.3999999999999999,-48.46666666666667,-1,0,2,0,-0.13461538461538458,0
-0.2,75.0,59.0,-1.4,-254.6,-2,0,-1,2,-0.13270637408568442,0
0.25,26.25,17.0,0.25,50.5,-3,0,-5,-13,0.09999999999999998,0
1.0,16.0,-21.0,0.0,-57.0,2,0,4,-7,0.2529411764705882,1
0.0,3.5,-9.25,0.25,12.75,-2,0,2,9,-0.2564102564102565,0
0.2,-38.4,-60.199999999999996,1.8,130.39999999999998,-1,0,1,-8,0.12393162393162394,1
0.0,-8.600000000000001,-27.4,0.4,51.199999999999996,2,-31,1,1,0.11397058823529416,1
0.4,-19.6,-34.8,-0.4,-21.6,-6,0,-5,7,0.13235294117647056,1
0.5,26.0,16.5,-2.0,-181.0,4,0,6,-3,0.04761904761904767,1
-0.6,8.399999999999999,10.8,0.2,46.8,-4,2,-4,14,-0.18157181571815717,1
0.0,15.800000000000004,35.400000000000006,-1.8,-59.800000000000004,-1,0,3,14,-0.2961538461538461,0
-1.0,44.4,36.0,0.4,3.1999999999999957,-1,0,-3,4,-0.09469696969696961,0
-0.3,24.200000000000003,19.299999999999997,-0.44999999999999996,-59.849999999999994,1,0,3,7,0.08363636363636362,0
0.0,9.400000000000002,0.3999999999999986,1.0,35.19999999999999,-4,20,-3,-10,0.21666666666666667,1
0.2,5.899999999999999,10.2,-1.5,-106.8,-1,0,-1,-6,-0.08750000000000002,0
0.4,-64.2,-64.2,0.8,116.39999999999999,1,0,1,2,-0.10227272727272729,0
-0.2,-0.19999999999999574,1.6000000000000085,0.4,-44.8,-4,0,-7,-6,0.03888888888888886,1
0.0,29.333333333333336,23.93333333333333,-2.8666666666666663,-236.9333333333333,-1,0,0,11,-0.22742474916387967,0
0.2,37.733333333333334,26.799999999999997,-2.3333333333333335,-196.86666666666667,-1,-8,5,5,-0.23750000000000004,0
-0.6,-51.0,-50.599999999999994,-3.0,-218.6,-1,0,-1,0,-0.07272727272727275,0
0.0,-31.5,-25.5,1.0,127.5,4,0,1,-3,0.09999999999999998,1
0.6,28.000000000000007,24.799999999999997,0.19999999999999996,-130.79999999999998,-3,0,-5,-8,0.23404255319148937,1
-0.6000000000000001,29.0,33.400000000000006,4.800000000000001,417.6,1,0,-2,3,0.1576576576576577,1
-0.39999999999999997,-25.39999999999999,-11.599999999999994,0.0,-33.400000000000006,4,0,3,9,-0.23504273504273498,0
0.2,6.0,-15.799999999999997,0.40000000000000013,13.199999999999989,-1,0,0,0,0.02592592592592602,1
0.5,-3.75,-7.75,-1.25,-40.25,4,0,2,0,0.04166666666666663,1
-0.4,45.0,67.0,-0.19999999999999996,-2.0,-2,-15,2,4,-0.044117647058823484,0
-0.6666666666666667,57.66666666666667,83.0,0.6666666666666666,93.0,-2,0,-4,8,0.012820512820512775,0
0.0,-2.6000000000000014,9.0,-0.3999999999999999,-80.79999999999998,-1,0,3,7,-0.15000000000000002,0
-0.39999999999999997,-56.60000000000001,-56.2,0.4,24.0,-1,0,4,-2,0.14666666666666672,1
-1.0,48.0,79.2,1.2,118.19999999999999,2,0,4,7,-0.36,0
0.3333333333333333,-8.666666666666668,-18.666666666666664,-1.0,-37.33333333333333,2,-11,5,0,-0.05681818181818177,1
-0.6000000000000001,35.8,46.6,0.0,38.2,3,0,3,-1,0.06818181818181823,0
-0.39999999999999997,18.0,20.200000000000003,0.4,33.6,-7,0,-4,4,0.025575447570332477,1
0.2,-26.2,-44.6,-1.0,-57.4,0,25,4,1,-0.008333333333333415,1
-0.3333333333333333,-4.666666666666664,-2.3333333333333357,-3.666666666666667,-274.3333333333333,-1,-15,-5,9,-0.09663865546218486,0
