kd_diff,sig_strike_diff,total_strikes_diff,td_diff,ctrl_time_diff,height_diff,reach_diff,age_diff,winrate_diff,winner
-0.4,58.8,79.7,1.6,159.6,-5,-5,5,-0.047619048,1
0.133333333,20.33333333,27.6,1.333333333,132.0666667,5,-3,-7,0.178030303,1
0.333333333,28.16666667,31.5,-1.166666667,-57.83333333,2,6,3,0.064102564,0
0,-46.53333333,-60.26666667,0.866666667,37.2,0,3,-1,0.106060606,0
0.5,-25.05,16.15,-0.15,-22.55,2,3,5,0.087121212,0
0,7.6,24.4,-1,-69,2,8,-1,-0.215503876,0
0.4,11.8,15.6,0,-29.4,0,2,-5,-0.198529412,0
-0.2,49.2,-29.4,-1.6,-265,0,-3,-1,0.088888889,1
-0.4,-43.8,-22.4,0.6,101.6,1,0,-10,0,1
-1.2,13.4,24.4,0.4,77.4,2,0,-1,0.092071611,1
-0.2,9,8.066666667,-0.2,-6.6,2,0,-1,-0.008305648,0
-0.2,13.6,-0.2,1.4,160.2,3,2,6,-0.037151703,0
0.1,14.55,4,-0.3,-67.85,-3,-1,5,-0.151515152,1
0.333333333,-78.66666667,-79.66666667,-1,3.666666667,2,4,2,-0.027972028,0
0.5,62,33,-1.5,-249.5,1,0,-2,0.077777778,1
1,-18,-13.5,-0.5,39,-6,-7,-3,0.083333333,0
0,18,-1.333333333,-0.333333333,-121.3333333,2,1,0,0.063636364,1
0.2,-14,-45,-4.4,-121.4,0,4,1,-0.096111519,1
-1.2,9.2,-8.4,1,-85.6,-5,-7,5,0,1
-0.2,1.6,-1,1.6,120.2,-4,-2,2,-0.227472527,0
-0.75,38.5,42.25,0,-1,-1,0,7,-0.181818182,0
0.2,-6.5,-19.6,1.2,-57.4,2,6,-2,-0.084705882,0
0.6,-71.8,-62.8,0,39.4,3,2,9,-0.035714286,0
0,-10.08333333,-1.666666667,0.5,-7.833333333,1,2,3,0.00952381,1
0.2,-27.65,-61.7,-2.05,-126.25,1,3,-2,0.152380952,1
-0.333333333,-3,8.333333333,0.666666667,9,-4,0,-1,0.444444444,1
0,9,6,-1,-124,-2,-1,-4,0.1,1
0,-8.733333333,14.8,0.4,51.6,-1,0,-13,0.12145749,1
0,32.33333333,30.66666667,1,10,3,-1,-2,0.0925,1
-0.8,-4.8,20,0.6,232.8,-1,-4,-5,0.100543478,0
