fighterid,link
107,http://ufcstats.com/fighter-details/19c591115a58982c
108,http://ufcstats.com/fighter-details/72f890c5d421e705
109,http://ufcstats.com/fighter-details/01641ba5df0c69b0
110,http://ufcstats.com/fighter-details/c6aee362c7a7d482
111,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e
112,http://ufcstats.com/fighter-details/2fe9032955c2e013
113,http://ufcstats.com/fighter-details/447f9858ae78f921
114,http://ufcstats.com/fighter-details/681399317dbf4701
115,http://ufcstats.com/fighter-details/06626b6287e1ae1e
116,http://ufcstats.com/fighter-details/eb393afdbe3293d5
117,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
118,http://ufcstats.com/fighter-details/9384e71bca6c409d
119,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
120,http://ufcstats.com/fighter-details/e00a3dee329a51f7
121,http://ufcstats.com/fighter-details/5987b2458f4b5290
122,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
123,http://ufcstats.com/fighter-details/cc8c623cca88f54f
124,http://ufcstats.com/fighter-details/e3964ece586e0635
125,http://ufcstats.com/fighter-details/955da1675ad58a50
126,http://ufcstats.com/fighter-details/6a311920edd73c85
127,http://ufcstats.com/fighter-details/31ef8b67e13495b3
128,http://ufcstats.com/fighter-details/cffb87059e645bd1
129,http://ufcstats.com/fighter-details/46e0d677f91bacc0
130,http://ufcstats.com/fighter-details/850266b3dc4e506e
131,http://ufcstats.com/fighter-details/23dec7c47cb418f8
132,http://ufcstats.com/fighter-details/3eeec2f53cebdf12
133,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
134,http://ufcstats.com/fighter-details/ffe9703408fb5964
135,http://ufcstats.com/fighter-details/7d8435c56043b0ae
136,http://ufcstats.com/fighter-details/d66a46de8d705353
137,http://ufcstats.com/fighter-details/40f3cb27fc7305a1
138,http://ufcstats.com/fighter-details/a57cb948c4c70a47
139,http://ufcstats.com/fighter-details/70380ccdc81915b8
140,http://ufcstats.com/fighter-details/feedf3053472fe56
141,http://ufcstats.com/fighter-details/7cec3c4a5e7b6d68
142,http://ufcstats.com/fighter-details/253076a23d03dcd0
143,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036
